Review,Positive,Negative,Neutral,Compound,Sentiment
Nice sunscreen but pricey and makes face little shiny too,0.174,0.0,0.826,0.2263,Positive
its good for dry skin,0.42,0.0,0.58,0.4404,Positive
"I like the high UVA protection that the suncream offers but it does give that whitecast, especially in the eyebrows and beard which looks quite bad. Also, sometimes it peels so bad that you regret applying it in the first place.",0.034,0.272,0.695,-0.9363,Negative
This sunscreen is extremly good at sun protection. The only thing which i doesnt liked was it leaves white patches on skin after applying,0.111,0.089,0.801,0.1451,Positive
It has no scent so that's the best part actually product seems to be good but my skin just reacted little different and when informed the seller was kind enough to respond quick and resolve.,0.286,0.036,0.677,0.9018,Positive
Superb.  Go for it,0.577,0.0,0.423,0.6249,Positive
"It’s a good product recommended by my dermat, but needs to apply in intervals. Depends on skin type. Works perfect for combination skin.",0.307,0.0,0.693,0.8126,Positive
"Great packaging, Trusted and reliable technology for very high sun protection and this product is better in every aspect than the previous one, truly worth the extra 200INR, doesn't burn or sting in the eye for me, cream to fluid consistency, Provides one of the highest UVA Protection in the market.I hope they",0.275,0.0,0.725,0.9501,Positive
"I bought this after lot of deliberation and I am glad I did. I have very very dry skin so the sun cream I bought in past were sticky and would give me a feeling of sweaty, which was not a great feeling. I used this (almost finished) and I wouldn't mind a little bit of fragrance but this has none which is okay.",0.078,0.072,0.85,-0.1645,Negative
Satisfied,1.0,0.0,0.0,0.4215,Positive
I am satisfied with bioderma SPF 50. It actually protects from harsh UV rays.,0.283,0.161,0.556,0.296,Positive
Good,1.0,0.0,0.0,0.4404,Positive
Very greasy. Tends to break out . I had smooth skin. Lost d texture.,0.0,0.187,0.813,-0.3182,Negative
i have been using for 2 months nowexcellent stuff.,0.0,0.0,1.0,0.0,Neutral
As if applied powder paste that will melt with just touch of water!!Wasted money.Submitted same on their official websites but no reply.,0.0,0.139,0.861,-0.5242,Negative
Very nice productdry touch texture is awesome,0.59,0.0,0.41,0.8016,Positive
Definitely buying it again,0.474,0.0,0.526,0.4019,Positive
"It’s really good! Would be perfect if the price were cheaper or the size were bigger. My skin is sensitive. Wrong product will irritate it, cause acnes, or worse, make it darker. But this one feels so light, doesnt have any scent, and so far I dont have any problem using it. It doesnt leave much whitecast tooI",0.136,0.093,0.771,0.4305,Positive
It has no scent so that's the best part actually product seems to be good but my skin just reacted little different and when informed the seller was kind enough to respond quick and resolve.,0.286,0.036,0.677,0.9018,Positive
Superb.  Go for it,0.577,0.0,0.423,0.6249,Positive
"It’s a good product recommended by my dermat, but needs to apply in intervals. Depends on skin type. Works perfect for combination skin.",0.307,0.0,0.693,0.8126,Positive
"Great packaging, Trusted and reliable technology for very high sun protection and this product is better in every aspect than the previous one, truly worth the extra 200INR, doesn't burn or sting in the eye for me, cream to fluid consistency, Provides one of the highest UVA Protection in the market.I hope they",0.275,0.0,0.725,0.9501,Positive
"I bought this after lot of deliberation and I am glad I did. I have very very dry skin so the sun cream I bought in past were sticky and would give me a feeling of sweaty, which was not a great feeling. I used this (almost finished) and I wouldn't mind a little bit of fragrance but this has none which is okay.",0.078,0.072,0.85,-0.1645,Negative
"I do recommend this sunscreen because it gives light and glossy finish to your skin.I think 50spf is suitable for indian skin.After applying this within few minutes sweat is on ,so tap with ur finger or with cotton fabric it will set quickly.This sunscreen will work great in winters",0.125,0.0,0.875,0.765,Positive
I purchased this sunprotection cream for my sister as she has very sensitive skin. This is a nice cream and has good texture n is light in weight. It has nicely suited my sisters skin type. It is more water base n less greasy.,0.189,0.0,0.811,0.8225,Positive
"I am very particular about sunscreens, because I have combinstin skin so I always prefer non-sticky sunscreen and trust me it is one of them and my skin is feeling fresh  and breathing otherwise I always need wipe it off.",0.177,0.0,0.823,0.7269,Positive
"I love all bioderma products as it suits my sensitive skin. This sunscreen is also great, provides good sun protection (spf 50+) and is water resistant too. Good product overall.",0.361,0.0,0.639,0.9337,Positive
I am giving this review just after using the product only from a week and it was wonderful. It was absolutely ultra matt . Its spread is good as i took only 3 or 4 drop all over my face. It is completly perfect for all type of skin eother men can also use. Also i dnt feel sweat on face after applying it,0.19,0.031,0.778,0.891,Positive
Good for dry skin,0.492,0.0,0.508,0.4404,Positive
"Good product, will recommend it.",0.643,0.0,0.357,0.6597,Positive
Very bad packaging and product looks like a copy of the origin. Doesn't look genuine.,0.137,0.207,0.656,-0.3167,Negative
"Bioderma spf50 phptoderm max cream completely suits my skin, smells good, light on skin, non-greasy and perfectly absorbs im the skin. Perfect for all those who drives bikes like me Overall nice product",0.365,0.0,0.635,0.9442,Positive
Best ever cream.. I used this. Totally satisfactory.. No chip chip no blackness. Fragrance is also have a soft scent I love this cream.,0.279,0.156,0.565,0.6929,Positive
I love this sunscreen,0.677,0.0,0.323,0.6369,Positive
Satisfied,1.0,0.0,0.0,0.4215,Positive
