Review,Positive,Negative,Neutral,Compound,Sentiment
Thank you Maybelline foundation for finding me I had given up wearing foundation years ago after Clinique stopped making their sports makeup foundation Maybelline for normal to dry skin is just as high a quality as Clinique It may even be better because the other car no my allows me to buy more shade variationsNow I own several variations of colors ranging from porcelain and ivory to nude buff considering which part of my face gets the foundationI am a visual artist painter so this makeup thing should be easy for me The issue has been a battle for economy together with quality With Maybelline I have found both economy and qualityThank you Amazon and Maybelline ,0.084,0.056,0.86,0.5106,Positive
I love it Doesnt clog my pores and my skin is GLOWING I do not like the thick matte type foundation and this is very light and doesnt feel heavy Ive used many many MANY foundations in my life and this is by far my favorite of all time,0.135,0.04,0.825,0.7261,Positive
I love how this makeup feels on my skin I have very sensitive skin and other products cause me to break out I am 35yrs old and have rosacea and I get flare ups when using other products this product works great for my skin and is my go to I highly recommend,0.198,0.0,0.802,0.902,Positive
I purchased this foundation in fair porcelain to mix with a make up I have  like in medium and it worked  just fine for that Other than that this shade is for the exceptionally exceptionally pale A hard to find shade when its what you seek but this would look too chalky and pale on most people,0.087,0.027,0.887,0.3246,Positive
I love how smooth this foundation is It literally gives you full coverage from the first application not to mention it last all day  make sure you put on primer Definitely one of my Go Tos and fave ,0.268,0.0,0.732,0.9022,Positive
I was looking for a foundation to cover my super red skin due to constant rosacea flare ups I also have textured skin with large pores Im not a professional when it comes to makeup and I have spent entirely to much money trying products that just didnt work for me  But I took a chance on this one because of the super affordable price So beyond happy that I did My skin feels hydrated looks dewy and it covers my redness without feeling like I need to apply half of the bottle Glad I tried something other than a matte finish as I now know its just not compatible with my skin I do not use a setting powder just a setting spray And finally I found something that makes me feel confident enough to take a selfie without a filter I will definitely buy more of this foundation,0.157,0.046,0.796,0.9636,Positive
Doesnt do full coverage and my face got oily But the price was good The Matt one is better,0.312,0.0,0.688,0.8271,Positive
Its sheer the color is good  moisturing and is good for mature skin no clumping in lines and wrinkles,0.333,0.085,0.581,0.7506,Positive
Easy to spread and doesnt look caked onthats a benefit However I feel like my skin looks oily and orange The color match seems off too I purchased the powder compact in the same shade and it was perfect yet the liquid foundation in the same shade was too dark for my skin,0.208,0.0,0.792,0.9022,Positive
I love how this goes on Its not too dewy but just right Its a medium coverage and my favorite I use it every day,0.248,0.0,0.752,0.765,Positive
This was gonna be my new go to foundation I been using the same foundation for 20 years It was 350 when I purchased it to try went back 2 days later to get more since I liked it and it was 7 dollars ugh but still worth 7 bucks,0.093,0.04,0.867,0.3589,Positive
I must rave about this foundation I normally put on powder and call it good The other day I decided to give this a try and I am impressed We live in Kentucky and It is very humid here I did my makeup and headed out to run school arans I was nervous about stopping at the farmers market with the new makeup on and the fact that we are dealing with 87 humidity right now I gave it a go and went into the heat and did my shopping I came back to the truck and looked into the mirror to find that not only was the makeup still perfect it has a nice dewey glow to it which made my face look even more natural I went ahead and ordered a shade down to add to my collection so I can use it during winter when my tan is gone,0.102,0.025,0.873,0.9117,Positive
Easy to use and easy to spread on face,0.453,0.0,0.547,0.7003,Positive
lovee it,0.0,0.0,1.0,0.0,Neutral
This makeup gives my skin a smooth natural look  Sometimes its hard to tell that Im wearing makeup  I love it,0.278,0.058,0.664,0.743,Positive
Dont seen no more like it but have enough thanks,0.507,0.0,0.493,0.7344,Positive
I have tried many different brands of foundation and this is the one that works the best on my skin I was looking for something with full coverage that wouldnt be cakey or make my skin feel suffocated In fact I bought three different brands of foundation on the same day One was 40 one was 14 and then this one which I paid 4 I think it was on sale I prefered this product over the other two,0.056,0.0,0.944,0.6369,Positive
I have worn this brand and color for along time awhile back it was getting difficult to find but of course I found it here better price and delivered right to me Thank you Amazon,0.226,0.083,0.691,0.7783,Positive
The best drugstore foundation for dry skin Ive used this in a variety of shades because I self tan and I love them Affordable medium coverage and comes in lots of shades I range from light to medium skin tones,0.198,0.0,0.802,0.8555,Positive
Good lightmedium coverage foundation its worth it but you need to moisturize very well before you put it on,0.289,0.0,0.711,0.6694,Positive
Really good foundation for Asian skin Has an orange undertone Looks natural and dewy,0.322,0.0,0.678,0.6901,Positive
I have bought this product three times already and two different colors and love both of them just ran out will be buying another one Better than morph Sephora and revolution,0.202,0.0,0.798,0.7964,Positive
Good consistency was unsure of what the dewyaspect would look like but was pleasantly surprised with outcome Will buy again,0.382,0.056,0.562,0.8271,Positive
I love love this foundation Easiest to blend and spread I love using this with my beauty blender,0.636,0.0,0.364,0.9648,Positive
I love this foundation  It does NOT look cakey,0.375,0.0,0.625,0.6369,Positive
Fast shipping and good product in general,0.326,0.0,0.674,0.4404,Positive
Just received this today and was immediately disappointed by the shade I wear shade 110 in the Maybelline Fit Me matteporeless foundation Ive worn it for years and Ive never had an issue I also have shade 120 dewysmooth and 330 in the same line I use the 120 as a summer shade or bronzer in the winter time and the 330 as a contour I find that contouring and bronzing with foundation lasts longer blends better and gives a more natural lookThe pictures are lineups of all of the foundations and the one Im reviewing is moved forward so you can tell the difference Please excuse the background my vanity is an antique secretary desk so its not exactly photogenic lol The one I purchased in this order is shade 110 in the DewySmooth and its darker than the shade 120 from the same line How is that possible Very disappointed Im guessing its a knockoff but if it isnt its extremely annoying that Maybelline would mislabel the foundation like this 110 is almost exactly my skin tone and 120 is what I use if I have a tanSecond pic is the lids again the one Im reviewing is moved forwardThe third pic is all of them a watched on my skin and blended at the bottom to see coverage and true color I stuck my arm next to an open window so you can get natural light and see it more clearly The order from elbow to hand is 110 this one 110 matteporeless 120 330 I have a bit of a tan on my arm now from driving so Im getting into my summer shade on my arm face is lighter but you can pretty clearly see that this 110 is WAY darker than the actual 110 matteporeless and a bit darker than 120 dewysmooth Its also more of an orangey shade than the 120 is DEFINITELY NOT PORCELAIN Again the 330 is a contour shade so chill lolThe fourth pic is the same as the 3rd just at my vanity so you can see it under different lightingThe fifth pic is the backs of each You can clearly see the difference in labeling I will say the shade 120 that I have has different labeling from all of them so Im guessing that is a change by Maybelline and Im very willing to accept that 120 is a possible knock off I also ordered on Amazon but either way shade 110 in matteporeless and dewysmooth should not be this differentVery disappointing For less than 4 Im not going to return it but Im bummed because Im out of my foundation and now Im stuck with a shade I cant use for a long time The consistency feels the same and the bottles are constructed the same Three stars solely because its still not a bad product,0.114,0.043,0.843,0.9901,Positive
Amazon often has fit me a lot cheaper like70than the stores so I can get several colors which is nice because I dont like my face all one color fit me is a buildable foundation  can look really natural It does tend to slide off I assume if you set it was powder it would hold better although I do use settings spray still seems to slide off abit But cant beat its natural but nice coverage and maybe my primer just doesnt work well with it,0.194,0.041,0.765,0.9044,Positive
I love this foundation,0.677,0.0,0.323,0.6369,Positive
Creamy smooth,0.0,0.0,1.0,0.0,Neutral
Best foundation Ive found,0.583,0.0,0.417,0.6369,Positive
I love this foundation  It spreads easy and has good coverage  This is awesome foundation at a great price Get some and you will not be disappointed,0.522,0.0,0.478,0.9672,Positive
Translated from Spanish by Amazon,0.298,0.0,0.702,0.1779,Positive
Not patchy feels good on the skin and good coverage Good value for money,0.264,0.239,0.497,0.125,Positive
I did the mistake of getting the wrong shade but even with the formula it makes my face look very cakey This used to be my go to but discovered other foundations that fit my face better,0.166,0.088,0.747,0.6542,Positive
I like this foundation but the Dewy version of fairporcelain is a shade darker than the Matte version,0.104,0.0,0.896,0.1901,Positive
I love this foundation Covers well but not too thick Does not feel heavy The coverage is very  natural Have been using it for years,0.272,0.0,0.728,0.7808,Positive
Great coverage,0.804,0.0,0.196,0.6249,Positive
I have been using this product for years and am very happy with how it looks on my skin and how it feels,0.16,0.0,0.84,0.6115,Positive
Great blend I use with the moisturizing foundation together,0.369,0.0,0.631,0.6249,Positive
its a good foundation but I got a tiny bit to light of a shade but its definitely a nice and spreadable foundation,0.38,0.0,0.62,0.8481,Positive
Its my favorite  foundation now 3,0.429,0.0,0.571,0.4588,Positive
Goes on smooth  Great coverage,0.506,0.0,0.494,0.6249,Positive
Its foundation on a budget,0.0,0.0,1.0,0.0,Neutral
