Review,Positive,Negative,Neutral,Compound,Sentiment
tablescraperselectedrow,0.0,0.0,1.0,0.0,Neutral
It is fast and beautiful,0.494,0.0,0.506,0.5994,Positive
I love the 360 touch screen the loud speakers and the feel of the keyboard  However the picture on Amazon was incorrect Item pic shows a keyboard which includes a10key pad  Instead of notifying me that the computer is no longer available the third party vender sent me with no explanatory paperwork a later model upgraded computer than the one I ordered wo the10key  Great computer but the extra work time  energy  involved in figuring everything out was enormous,0.134,0.039,0.827,0.7783,Positive
I was in desperate need of a new laptop Right off the top my previous laptop was slow and it wasnt powerful enough to support an active lifestyle I researched a few laptops but with all the recent life changesall of which I hope end soon I had to set a budget Setting a budget meant that I wanted a serious laptop but wasnt going to go out of the 1100 price range Well I picked this beauty Right off the top this laptop looks nice both appearance and screen view This model comes with an Intel Core i7 a full HD touchscreen and a SSD for a very good start up I like the overall look and feel of this laptop It is a 2 In 1 but I will keep it in laptop mode as opposed to the other configurations Its too early to do a full blown review but I am satisfied with my purchase and I do feel it will be good in being future ready,0.233,0.027,0.741,0.9897,Positive
Edit 11102020 after 500 worth of computer repairs part of the problem is HP decided to put 2 different size RAM cards in it 2gig and 4gig When I put MS suite Acrobat DC and Trend Micro Security it overloaded it No heavy use simple Word docs PDF surfing and email Tech at the shop said that is a bad setup it puts an uneven load on the smaller card Bad setup But with an extra 500 cash it can function like a normal computer if there is such a thing anymore See below original issue In short these computers sit in storage and you get them update them and with Windows massive updates and crashes this year be prepared for a month of chaos to clean up Death to OneDrive as wellUnless youre a computer nerd  dumpthebloatGreat computer but the bloatware and invasion of privacy by MS is horrible Entry level computer plan on taking straight to tech to have it cleaned Drivers way outdated and had to spend 200 to get it working smooth If youre good with computers and can clean and update its a good buy But unless you order direct with it preloaded with what you bought its a work in progress One HUGE thing Turn off OneDrive ImmediatelyItll steal your whole computer all the files and suck it up Into MS cloud Destroyed my system when I tried to disable,0.132,0.138,0.73,-0.579,Negative
Good laptop gets the job done wouldnt highly recommend for any heavily cpugpu taxing fast paced games but runs other casual less taxing games just fine  Runs a bit hot make sure you keep the airflow good around your laptop  Overall great for work and school  Switches tabs and windows and opens apps smooth as butter i havent experienced any slowdown thus far even after upgrading to windows 11 Would recommend hp makes some darn good laptops,0.243,0.05,0.707,0.9584,Positive
Nice purchase a good upgrade for me Comes with charger and hp pen  a type c cord to charge the pen Fully charge the pen before use,0.206,0.0,0.794,0.6908,Positive
Ive had this laptop going on 2 weeks now  I love it so far I seen it in person at Best Buy and I researched to find best laptops for college students and this one came up multiple times Since Best Buy was sold out for weeks I was glad to find it on Amazon for 100 cheaper and it also came in 2 days faster than expected So far its been great for speed  not too heavy  my favorite part is switching it to tablet mode and being able to touch the screen in either mode Very easy set up and beautiful design The only drawbacks I have is the battery life is kind of short its about 4 hours  may very based on use since I watch a lot of streaming services on it and the internal fan could be a little quieter but doesnt last very long Other than those things this was well worth the money,0.178,0.0,0.822,0.9735,Positive
Great laptop with a lot of memory Ive been having problems with the bitlocker function camera and audio Additionally the backlight against the silver keyboard is incredibly challenging for me to use during the daytime as I have a hard time seeing light against lightI tried to request a refund andor exchange and seller said noMaking the best use of it and still is a great functional laptoptablet on the go solution,0.206,0.051,0.744,0.9259,Positive
Just had it for a couple of days Everythings flying  fast fingerprint signin is a huge plus Touchscreen is responsive to both finger snd styluses sensitivity is just right on Bought HP pen separately  works flawlessly Optane memory seems to speed up tremendously the process of handling image and video files Fan is very quiet doesnt seem to overheat Graphics are good for a full HD but nothing like on your latest smartphone The build is solid aluminum chassis so no cheap plastic feeling but weighs just a bit more which I dont mindHavent tried to play any games yet but Adobe PS and PPro work with heavy files without problem,0.151,0.054,0.795,0.7631,Positive
Bought this for our son when he went off to college He says hes had no problems with it whatsoever and is very pleased,0.11,0.168,0.722,-0.1796,Negative
The functionality of this laptop has been good Unfortunately the battery life is TERRIBLE With light use Microsoft Office some internet use I get about three hours before I have to plug the machine into the charger If the power is less than 50 when I put the machine to sleep of an evening it is fully drained by morning,0.045,0.139,0.816,-0.7291,Negative
I love this new laptop Its lightweight easy to fold to view as a small tv and the touchscreen feature is great for scrolling and moving around the screen Its nice that it has enough ports for my external devices I can plug in an external hard drive my new iPhone 11 Pro mouse and thumb drive With ease Touchscreen Just needs to not recognize my palm when I want to draw but I decided to just draw with my mouse as the Surface Pen I bought gave me jagged pixelated lines,0.129,0.013,0.858,0.8271,Positive
