Review,Positive,Negative,Neutral,Compound,Sentiment
asizebase 3,0.0,0.0,1.0,0.0,Neutral
Maybelline is a tried and tested brand Love this concealer Easy to use and apply Make sure you choose the right color for your skin tone I use a brush to apply I have combination sensitive skin and have no issues with it Highly recommend,0.242,0.044,0.714,0.8748,Positive
I use these on all of my clients perfect Matte finish paired withe the loose setting powder and fit me matte pressed powders  and ofc the foundation,0.197,0.073,0.73,0.5994,Positive
Great value and it works fine,0.735,0.0,0.265,0.8074,Positive
i can never find this shade in stores and decided to order it online i actually got 2 i love these,0.208,0.0,0.792,0.6369,Positive
I love this concealer It blends well isnt heavy and doesnt irritate my sensitive skin or make me stuffy Will definitely buy again the price is a plus too,0.33,0.0,0.67,0.8842,Positive
It has light to medium coverage at most and I find that it oxidizes It is easy to blend,0.146,0.0,0.854,0.4404,Positive
Ive used it for years but usually purchase at CVS or grocery store This was much cheaper than stores I hv darkness under my eyes This provides perfect coverage and moisture I also use it as base for my eye lids and upper eyes,0.106,0.053,0.841,0.5499,Positive
My favorite concealer Works great under the eyes or concealing blemishes,0.441,0.0,0.559,0.7964,Positive
Easy to use Blends really well Doesnt feel cheap For everyday noncakey coverage,0.325,0.0,0.675,0.6478,Positive
Works best for me,0.583,0.0,0.417,0.6369,Positive
I like the way that it easily applies to your face and blends in as you do the coverage to your face,0.205,0.0,0.795,0.5994,Positive
I liked the moisturizing effect and how it covers,0.286,0.0,0.714,0.4215,Positive
Im a little annoyed with this product Ive used this concealer for years  its a great product However I ordered the color associated with shade 10 because Ive always used shade 10 If you look at the advertised picture of shade 10 it shows 10 light but the REAL shade 10 is fair I didnt realize this until I received the product I ordered shade 10 light but what I received is shade 15 light Maybe this is partially my fault  I should have went by the shade name instead of the shade number but I assumed ordering by the shade number would bring me the accurate product I can and will reorder the right color just be aware of the flip flop of these 2 shades when ordering this product,0.065,0.064,0.871,-0.2272,Negative
This is not great for dark spots I had to reapply a few times to get light coverage But it does go on smooth and blends well,0.095,0.077,0.827,0.1288,Positive
I was scared of the shade match but it matched me perfectly Im between  shades1113 depending on the weather for sephora collection concealers The coverage and finish is great It covers my dark circles and blemishes well It lasts all day too,0.266,0.037,0.697,0.9343,Positive
very light weight in the skin blends in really easily and looks amazing,0.371,0.0,0.629,0.7574,Positive
This is so beautiful foundation because after wear its looks like very natural ,0.507,0.0,0.493,0.883,Positive
Isnt drying or patchy Applies and dries down really nicely and doesnt turn orange Will be buying again,0.158,0.0,0.842,0.4927,Positive
Best cheap concealer that I have found The colors go a little lighter than expected for me,0.231,0.0,0.769,0.6369,Positive
Nice product Matches my complexion and does the job for the price,0.203,0.0,0.797,0.4215,Positive
Ill look for a more full coverage one but it matches me perfectly I use Maybelline foundation in 336,0.256,0.084,0.661,0.7096,Positive
Easy to use and a good choice of colors,0.492,0.0,0.508,0.7003,Positive
Its a great product except it arrived with the top completely shattered,0.341,0.196,0.463,0.3626,Positive
I apply concealer under my eyes every single day I cant justify buying high end so often so I was so glad to find this a few years ago It blends wonderfully non drying and easy to find at any drugstore now I buy off Amazon Give it a try,0.241,0.0,0.759,0.9135,Positive
This is my favorite concealer So lightweight and easy to blend It does not easily crease and it will take me months before I need another because a little goes a long way with this product Does not give the heavy greasy feel on my skin,0.128,0.042,0.83,0.6283,Positive
Works great dont even need foundation anymore,0.406,0.0,0.594,0.6249,Positive
Price was good Plan to purchase again,0.326,0.0,0.674,0.4404,Positive
its pretty good,0.859,0.0,0.141,0.7269,Positive
This is a pretty good concealer but it isnt going to be mistaken for a high end product if you look closely  The concealer works best if you have moisturized skin primer on and no wrinkles  If you put in on dry skin or on crows feet it will bring attention to them not hide themI use this under my eyes with lots of primer base and it lasts a good 8 hours  I also use this on some redness or blemishes and it works fine  For the price Id say that this is 2 to my 1 Elfs Camo Concealer  Still a good item to have in your workplace makeup bag for quick spot retouches,0.17,0.048,0.782,0.938,Positive
Usually when I get concealer it never works out Either it doesnt blend it looks bad and dry or its just not my shadecolor This one was pretty good I general bought it because I couldnt find any that fit me and I was going to use it for SFX things if it didnt work I now use it for my everyday makeup ,0.13,0.053,0.817,0.6249,Positive
If I were to apply only one beauty product before leaving the house it would be concealer  My undereyes and my eyelids are so prone to dark shadowyness that I swear it looks like I have a penchant for punching myself in the face as part of my morning routine  If I want to run down the street in the morning to grab a coffee I either need to put on concealer or wear sunglasses or I fear that small children will run away from me screaming in terror convinced that they just saw a real life zombie coming out of their local StarbucksAs a result of my unrelenting dark circles concealer and I have a very intimate relationship  I swear that I have tried EVERY concealer and eye brightener that any magazine beauty blog or friend has ever recommended  YSL Touche Eclat Laura Mercier Secret Camouflage Lancome Effacernes Benefit Boiing Smashbox Photo Op Bobbi Brown Clinique Tarteokay Im going to stop naming concealers Ive tried because this is actually getting really depressing and kind of shameful  The point is out of ALL of the concealers Ive tried this Maybelline one is my favoriteI realize that my dedication to this concealer out of all the concealers in the world is kind of weird and random but I freaking love this product and Ive been using it for years now  Actually I take that back  I kind of hate this product  I would love to not be shackled to my drugaddictlike attachment to concealer  And no it doesnt work miracles my eye circles are still the bane of my facial existence  Yes I know my life is SO hard  But regardless this concealer is the best one Ive gotSometimes Ill get curious and try something else but I always come back to this  Its not too sheer but not too thick its not sticky and it doesnt crease especially not if I set it with a tiny bit of Make Up For Ever HD Microfinish Powder  This concealer comes in many different shades sometimes I go lighter or darker based on the time of year or mix a pinkbased hue with a yellowbased hue  It lasts a really long time its inexpensive especially if you buy it online and it doesnt irritate my usuallysensitive skinThe wand applicator is great  Ive found that most concealers that have a similar consistency to this one are packaged so that you have to click a button or knob on a penlike contraption in order to dispense more of the product and then oftentimes too much concealer blobs out at once and you end up wasting it which is especially annoying when you are dealing with a very expensive concealerSeveral of my friends have started using this concealer based on my rave reviews and this is probably also a good indication that my dark circles do in fact look far less horrifying once I have applied this product,0.113,0.088,0.799,0.9462,Positive
Maybelline has good quality products,0.42,0.0,0.58,0.4404,Positive
It looks very natural and the  price is  reasonable,0.259,0.0,0.741,0.4201,Positive
This is a pretty creamy moist concealer I like it quite a bit Its supposed to be a good dupe for Nars Radiant Creamy but thats out of my budget so I can only go by rumors It may be a bit creasy if you have a lot of undereye linesThe image attached shows a dot of Maybelline foundation Dream Urban Cover in the shade 115 Ivory It is surrounded by five dots of different Maybelline concealers five shades from four different linesSS is Super Stay in 10 Fair Its a little darkerashier than Fit Me and Instant Age Rewind in Fair Ill probably be testing 05 Ivory nextMC is Master Conceal in 10 Fair Its considerably lighterbrighter than Fit Me and Instant Age Rewind in Fair Ill probably be trying 20 Light nextBoth FMs are Fit Me FMF is Fit Me in 10 Fair and FML is Fit Me in 15 Light The former is a pretty good match for Instant Age Rewind in Fair and the latter is pretty close to the 115 Ivory foundation they were even closer afer drydown For other 115 foundation folks out there Fair is good for undereyes and Light is good for blemishesSide note the shade numbers on Fit Me Fair and Light were flipped at the initial release and possibly in some countries now they used to be 10 Light and 15 Fair Fair is lighter than Light so it now has a lower shade number as is the standard for Maybelline Keep that in mind when perusing swatches online Sometimes 10 and 15 are switched but Fair is always paler and cooler than LightIAR is Instant Age Rewind in 110 Fair It was still a little wet and heaped up at the time of the photo but dried down to be a pretty good match to the Fit Me FairHope this is helpful to any other paleskinned folks shopping for shades online,0.27,0.031,0.699,0.9981,Positive
Do not miss this,0.325,0.0,0.675,0.1139,Positive
Appears to be a little thick and takes a bit to spread  Coverage is great,0.255,0.0,0.745,0.6249,Positive
This stuff is pretty weak Also there is very little product in this tube I couldnt believe how quickly I ran out This stuff works best if it goes on skin first This may be weird but I prefer to put my concealerbrightener on last but before finish powder I have no problem with the other brand I had been using the one that you twist tube and it has a sponge on top I intend to go back to using that one The only plus side to this product for me was that the brush allowed me to put product in tighter places like the corners of the eyes I also did not care for the thickness of this product,0.08,0.103,0.817,-0.4482,Negative
This concealer spreads easily and does not dry out the skin  It is a bargain,0.259,0.0,0.741,0.4939,Positive
Right coverage,0.0,0.0,1.0,0.0,Neutral
Really live it for under my eyes to brighten it up ,0.225,0.0,0.775,0.4404,Positive
Excelente producto,0.0,0.0,1.0,0.0,Neutral
This product works very well for its price I have struggled with undereye bags for all of my life and I decided to buy concealer to hide them a bit I find that sometimes it takes two coats to fully cover up a blemish or eye bags but one coat will usually do the trick Very satisfied with my purchase,0.097,0.072,0.831,0.5402,Positive
It works great but theres just not really a lot of it  I can see me maybe only getting to use this at most 6 times before its all used up  This is however great for covering a quick blemish that comes up while out and about,0.167,0.0,0.833,0.8481,Positive
I ordered wrong color returned,0.0,0.508,0.492,-0.4767,Negative
My wife has been using this a few weeks and loves it  It goes on well and provides good coverage  It isnt too thin and you can do multiple layers  It blends well and the color matches her skin  It covers well and stays on for the entire day  It is available at a good price as well  If she is happy then I am happy  She looks gorgeous with and without makeup,0.328,0.0,0.672,0.9805,Positive
I got the light shade and its darker than expected It doesnt cover very well Ok for the price,0.121,0.099,0.78,0.1148,Positive
This is what I use for a natural look It goes on smooth and covers my dark under eye well It also sets really well,0.251,0.0,0.749,0.6908,Positive
Report abuse,0.0,0.808,0.192,-0.6369,Negative
Its nothing special not bad but not great either Doesnt last very long but for the price point its ok,0.105,0.292,0.603,-0.6065,Negative
good,1.0,0.0,0.0,0.4404,Positive
Very light cover,0.0,0.0,1.0,0.0,Neutral
always a good affordable medium to full coverage and not too drying or oily,0.195,0.0,0.805,0.4404,Positive
