Review,Positive,Negative,Neutral,Compound,Sentiment
tablescraperselectedrowlov,0.0,0.0,1.0,0.0,Neutral
far,0.0,0.0,1.0,0.0,Neutral
ye,0.0,0.0,1.0,0.0,Neutral
light,0.0,0.0,1.0,0.0,Neutral
soft,0.0,0.0,1.0,0.0,Neutral
touch,0.0,0.0,1.0,0.0,Neutral
useout,0.0,0.0,1.0,0.0,Neutral
box,0.0,0.0,1.0,0.0,Neutral
x,0.0,0.0,0.0,0.0,Neutral
carbon,0.0,0.0,1.0,0.0,Neutral
impress,1.0,0.0,0.0,0.4404,Positive
machin,0.0,0.0,1.0,0.0,Neutral
light,0.0,0.0,1.0,0.0,Neutral
weight,0.0,0.0,1.0,0.0,Neutral
andaesthet,0.0,0.0,1.0,0.0,Neutral
plea,0.0,0.0,1.0,0.0,Neutral
keyboard,0.0,0.0,1.0,0.0,Neutral
pleasur,0.0,0.0,1.0,0.0,Neutral
use,0.0,0.0,1.0,0.0,Neutral
touchpad,0.0,0.0,1.0,0.0,Neutral
ismuch,0.0,0.0,1.0,0.0,Neutral
better,1.0,0.0,0.0,0.4404,Positive
pc,0.0,0.0,1.0,0.0,Neutral
ive,0.0,0.0,1.0,0.0,Neutral
recent,0.0,0.0,1.0,0.0,Neutral
use,0.0,0.0,1.0,0.0,Neutral
model,0.0,0.0,1.0,0.0,Neutral
thestandard,0.0,0.0,1.0,0.0,Neutral
x,0.0,0.0,0.0,0.0,Neutral
display,0.0,0.0,1.0,0.0,Neutral
fine,1.0,0.0,0.0,0.2023,Positive
ultraport,0.0,0.0,1.0,0.0,Neutral
youdesir,0.0,0.0,1.0,0.0,Neutral
someth,0.0,0.0,1.0,0.0,Neutral
compar,0.0,0.0,1.0,0.0,Neutral
mac,0.0,0.0,1.0,0.0,Neutral
retina,0.0,0.0,1.0,0.0,Neutral
display,0.0,0.0,1.0,0.0,Neutral
recommend,1.0,0.0,0.0,0.3612,Positive
upgrad,0.0,0.0,1.0,0.0,Neutral
toth,0.0,0.0,1.0,0.0,Neutral
lenovo,0.0,0.0,1.0,0.0,Neutral
hire,0.0,0.0,1.0,0.0,Neutral
hdr,0.0,0.0,1.0,0.0,Neutral
display,0.0,0.0,1.0,0.0,Neutral
typic,0.0,0.0,1.0,0.0,Neutral
busi,0.0,0.0,1.0,0.0,Neutral
use,0.0,0.0,1.0,0.0,Neutral
email,0.0,0.0,1.0,0.0,Neutral
m,0.0,0.0,0.0,0.0,Neutral
offic,0.0,0.0,1.0,0.0,Neutral
webbrows,0.0,0.0,1.0,0.0,Neutral
video,0.0,0.0,1.0,0.0,Neutral
conferenc,0.0,0.0,1.0,0.0,Neutral
etc,0.0,0.0,1.0,0.0,Neutral
intel,0.0,0.0,1.0,0.0,Neutral
th,0.0,0.0,1.0,0.0,Neutral
gen,0.0,0.0,1.0,0.0,Neutral
processor,0.0,0.0,1.0,0.0,Neutral
gb,0.0,0.0,1.0,0.0,Neutral
ssdand,0.0,0.0,1.0,0.0,Neutral
gb,0.0,0.0,1.0,0.0,Neutral
ram,0.0,0.0,1.0,0.0,Neutral
configur,0.0,0.0,1.0,0.0,Neutral
fine,1.0,0.0,0.0,0.2023,Positive
x,0.0,0.0,0.0,0.0,Neutral
also,0.0,0.0,1.0,0.0,Neutral
good,1.0,0.0,0.0,0.4404,Positive
array,0.0,0.0,1.0,0.0,Neutral
portsinclud,0.0,0.0,1.0,0.0,Neutral
usb,0.0,0.0,1.0,0.0,Neutral
atyp,0.0,0.0,1.0,0.0,Neutral
usbcthunderbolt,0.0,0.0,1.0,0.0,Neutral
hdmi,0.0,0.0,1.0,0.0,Neutral
day,0.0,0.0,1.0,0.0,Neutral
usebatteri,0.0,0.0,1.0,0.0,Neutral
life,0.0,0.0,1.0,0.0,Neutral
impress,1.0,0.0,0.0,0.4404,Positive
probabl,0.0,0.0,1.0,0.0,Neutral
hour,0.0,0.0,1.0,0.0,Neutral
web,0.0,0.0,1.0,0.0,Neutral
brow,0.0,0.0,1.0,0.0,Neutral
offic,0.0,0.0,1.0,0.0,Neutral
andemail,0.0,0.0,1.0,0.0,Neutral
usag,0.0,0.0,1.0,0.0,Neutral
knock,0.0,0.0,1.0,0.0,Neutral
id,0.0,0.0,1.0,0.0,Neutral
give,0.0,0.0,1.0,0.0,Neutral
term,0.0,0.0,1.0,0.0,Neutral
hardwar,0.0,0.0,1.0,0.0,Neutral
lid,0.0,0.0,1.0,0.0,Neutral
alot,0.0,0.0,1.0,0.0,Neutral
flex,0.0,0.0,1.0,0.0,Neutral
suppos,0.0,0.0,1.0,0.0,Neutral
expect,0.0,0.0,1.0,0.0,Neutral
sinc,0.0,0.0,1.0,0.0,Neutral
notaluminum,0.0,0.0,1.0,0.0,Neutral
