Review,Positive,Negative,Neutral,Compound,Sentiment
maybellin,0.0,0.0,1.0,0.0,Neutral
tri,0.0,0.0,1.0,0.0,Neutral
test,0.0,0.0,1.0,0.0,Neutral
brand,0.0,0.0,1.0,0.0,Neutral
love,1.0,0.0,0.0,0.6369,Positive
conceal,0.0,0.0,1.0,0.0,Neutral
easi,0.0,0.0,1.0,0.0,Neutral
use,0.0,0.0,1.0,0.0,Neutral
andappli,0.0,0.0,1.0,0.0,Neutral
make,0.0,0.0,1.0,0.0,Neutral
sure,1.0,0.0,0.0,0.3182,Positive
choos,0.0,0.0,1.0,0.0,Neutral
right,0.0,0.0,1.0,0.0,Neutral
color,0.0,0.0,1.0,0.0,Neutral
skin,0.0,0.0,1.0,0.0,Neutral
tone,0.0,0.0,1.0,0.0,Neutral
use,0.0,0.0,1.0,0.0,Neutral
brushto,0.0,0.0,1.0,0.0,Neutral
appli,0.0,0.0,1.0,0.0,Neutral
combin,0.0,0.0,1.0,0.0,Neutral
sensit,0.0,0.0,1.0,0.0,Neutral
skin,0.0,0.0,1.0,0.0,Neutral
issu,0.0,0.0,1.0,0.0,Neutral
highlyrecommendi,0.0,0.0,1.0,0.0,Neutral
use,0.0,0.0,1.0,0.0,Neutral
client,0.0,0.0,1.0,0.0,Neutral
perfect,1.0,0.0,0.0,0.5719,Positive
matt,0.0,0.0,1.0,0.0,Neutral
finish,0.0,0.0,1.0,0.0,Neutral
pair,0.0,0.0,1.0,0.0,Neutral
with,0.0,0.0,1.0,0.0,Neutral
looseset,0.0,0.0,1.0,0.0,Neutral
powder,0.0,0.0,1.0,0.0,Neutral
fit,1.0,0.0,0.0,0.3612,Positive
matt,0.0,0.0,1.0,0.0,Neutral
press,0.0,0.0,1.0,0.0,Neutral
powder,0.0,0.0,1.0,0.0,Neutral
ofc,0.0,0.0,1.0,0.0,Neutral
foundationgreat,0.0,0.0,1.0,0.0,Neutral
valu,0.0,0.0,1.0,0.0,Neutral
work,0.0,0.0,1.0,0.0,Neutral
finei,0.0,0.0,1.0,0.0,Neutral
never,0.0,0.0,1.0,0.0,Neutral
find,0.0,0.0,1.0,0.0,Neutral
shade,0.0,0.0,1.0,0.0,Neutral
store,0.0,0.0,1.0,0.0,Neutral
decid,0.0,0.0,1.0,0.0,Neutral
order,0.0,0.0,1.0,0.0,Neutral
onlin,0.0,0.0,1.0,0.0,Neutral
iactual,0.0,0.0,1.0,0.0,Neutral
got,0.0,0.0,1.0,0.0,Neutral
love,1.0,0.0,0.0,0.6369,Positive
thesei,0.0,0.0,1.0,0.0,Neutral
love,1.0,0.0,0.0,0.6369,Positive
conceal,0.0,0.0,1.0,0.0,Neutral
blend,0.0,0.0,1.0,0.0,Neutral
well,1.0,0.0,0.0,0.2732,Positive
isnt,0.0,0.0,1.0,0.0,Neutral
heavi,0.0,0.0,1.0,0.0,Neutral
doesnt,0.0,0.0,1.0,0.0,Neutral
irrit,0.0,0.0,1.0,0.0,Neutral
mysensit,0.0,0.0,1.0,0.0,Neutral
skin,0.0,0.0,1.0,0.0,Neutral
make,0.0,0.0,1.0,0.0,Neutral
stuffi,0.0,0.0,1.0,0.0,Neutral
definit,0.0,0.0,1.0,0.0,Neutral
buy,0.0,0.0,1.0,0.0,Neutral
price,0.0,0.0,1.0,0.0,Neutral
aplu,0.0,0.0,1.0,0.0,Neutral
tooit,0.0,0.0,1.0,0.0,Neutral
light,0.0,0.0,1.0,0.0,Neutral
medium,0.0,0.0,1.0,0.0,Neutral
coverag,0.0,0.0,1.0,0.0,Neutral
find,0.0,0.0,1.0,0.0,Neutral
oxid,0.0,0.0,1.0,0.0,Neutral
easyto,0.0,0.0,1.0,0.0,Neutral
blendiv,0.0,0.0,1.0,0.0,Neutral
use,0.0,0.0,1.0,0.0,Neutral
year,0.0,0.0,1.0,0.0,Neutral
usual,0.0,0.0,1.0,0.0,Neutral
purchas,0.0,0.0,1.0,0.0,Neutral
cv,0.0,0.0,1.0,0.0,Neutral
groceri,0.0,0.0,1.0,0.0,Neutral
store,0.0,0.0,1.0,0.0,Neutral
wasmuch,0.0,0.0,1.0,0.0,Neutral
cheaper,0.0,0.0,1.0,0.0,Neutral
store,0.0,0.0,1.0,0.0,Neutral
hv,0.0,0.0,1.0,0.0,Neutral
dark,0.0,0.0,1.0,0.0,Neutral
eye,0.0,0.0,1.0,0.0,Neutral
provid,0.0,0.0,1.0,0.0,Neutral
perfectcoverag,0.0,0.0,1.0,0.0,Neutral
moistur,0.0,0.0,1.0,0.0,Neutral
also,0.0,0.0,1.0,0.0,Neutral
use,0.0,0.0,1.0,0.0,Neutral
base,0.0,0.0,1.0,0.0,Neutral
eye,0.0,0.0,1.0,0.0,Neutral
lid,0.0,0.0,1.0,0.0,Neutral
upper,0.0,0.0,1.0,0.0,Neutral
eyesmi,0.0,0.0,1.0,0.0,Neutral
favorit,0.0,0.0,1.0,0.0,Neutral
conceal,0.0,0.0,1.0,0.0,Neutral
work,0.0,0.0,1.0,0.0,Neutral
great,1.0,0.0,0.0,0.6249,Positive
eye,0.0,0.0,1.0,0.0,Neutral
conceal,0.0,0.0,1.0,0.0,Neutral
blemisheseasi,0.0,0.0,1.0,0.0,Neutral
use,0.0,0.0,1.0,0.0,Neutral
blend,0.0,0.0,1.0,0.0,Neutral
realli,0.0,0.0,1.0,0.0,Neutral
well,1.0,0.0,0.0,0.2732,Positive
doesnt,0.0,0.0,1.0,0.0,Neutral
feel,0.0,0.0,1.0,0.0,Neutral
cheap,0.0,0.0,1.0,0.0,Neutral
everyday,0.0,0.0,1.0,0.0,Neutral
noncakeycoveragework,0.0,0.0,1.0,0.0,Neutral
best,1.0,0.0,0.0,0.6369,Positive
mei,0.0,0.0,1.0,0.0,Neutral
like,1.0,0.0,0.0,0.3612,Positive
way,0.0,0.0,1.0,0.0,Neutral
easili,0.0,0.0,1.0,0.0,Neutral
appli,0.0,0.0,1.0,0.0,Neutral
face,0.0,0.0,1.0,0.0,Neutral
blend,0.0,0.0,1.0,0.0,Neutral
thecoverag,0.0,0.0,1.0,0.0,Neutral
facei,0.0,0.0,1.0,0.0,Neutral
like,1.0,0.0,0.0,0.3612,Positive
moistur,0.0,0.0,1.0,0.0,Neutral
effect,0.0,0.0,1.0,0.0,Neutral
coversim,0.0,0.0,1.0,0.0,Neutral
littl,0.0,0.0,1.0,0.0,Neutral
annoy,0.0,1.0,0.0,-0.4404,Negative
product,0.0,0.0,1.0,0.0,Neutral
ive,0.0,0.0,1.0,0.0,Neutral
use,0.0,0.0,1.0,0.0,Neutral
conceal,0.0,0.0,1.0,0.0,Neutral
year,0.0,0.0,1.0,0.0,Neutral
great,1.0,0.0,0.0,0.6249,Positive
product,0.0,0.0,1.0,0.0,Neutral
howev,0.0,0.0,1.0,0.0,Neutral
order,0.0,0.0,1.0,0.0,Neutral
color,0.0,0.0,1.0,0.0,Neutral
associ,0.0,0.0,1.0,0.0,Neutral
shade,0.0,0.0,1.0,0.0,Neutral
ive,0.0,0.0,1.0,0.0,Neutral
alway,0.0,0.0,1.0,0.0,Neutral
use,0.0,0.0,1.0,0.0,Neutral
shade,0.0,0.0,1.0,0.0,Neutral
look,0.0,0.0,1.0,0.0,Neutral
advertis,0.0,0.0,1.0,0.0,Neutral
pictur,0.0,0.0,1.0,0.0,Neutral
ofshad,0.0,0.0,1.0,0.0,Neutral
show,0.0,0.0,1.0,0.0,Neutral
light,0.0,0.0,1.0,0.0,Neutral
real,0.0,0.0,1.0,0.0,Neutral
shade,0.0,0.0,1.0,0.0,Neutral
fair,1.0,0.0,0.0,0.3182,Positive
didnt,0.0,0.0,1.0,0.0,Neutral
realizethi,0.0,0.0,1.0,0.0,Neutral
receiv,0.0,0.0,1.0,0.0,Neutral
product,0.0,0.0,1.0,0.0,Neutral
order,0.0,0.0,1.0,0.0,Neutral
shade,0.0,0.0,1.0,0.0,Neutral
light,0.0,0.0,1.0,0.0,Neutral
ireceiv,0.0,0.0,1.0,0.0,Neutral
shade,0.0,0.0,1.0,0.0,Neutral
light,0.0,0.0,1.0,0.0,Neutral
mayb,0.0,0.0,1.0,0.0,Neutral
partial,0.0,0.0,1.0,0.0,Neutral
fault,0.0,1.0,0.0,-0.4019,Negative
havew,0.0,0.0,1.0,0.0,Neutral
shade,0.0,0.0,1.0,0.0,Neutral
name,0.0,0.0,1.0,0.0,Neutral
instead,0.0,0.0,1.0,0.0,Neutral
shade,0.0,0.0,1.0,0.0,Neutral
number,1.0,0.0,0.0,0.0772,Positive
assum,0.0,0.0,1.0,0.0,Neutral
order,0.0,0.0,1.0,0.0,Neutral
byth,0.0,0.0,1.0,0.0,Neutral
shade,0.0,0.0,1.0,0.0,Neutral
number,1.0,0.0,0.0,0.0772,Positive
would,0.0,0.0,1.0,0.0,Neutral
bring,0.0,0.0,1.0,0.0,Neutral
accur,0.0,0.0,1.0,0.0,Neutral
product,0.0,0.0,1.0,0.0,Neutral
reorderth,0.0,0.0,1.0,0.0,Neutral
right,0.0,0.0,1.0,0.0,Neutral
color,0.0,0.0,1.0,0.0,Neutral
awar,0.0,0.0,1.0,0.0,Neutral
flip,0.0,0.0,1.0,0.0,Neutral
flop,0.0,1.0,0.0,-0.34,Negative
shade,0.0,0.0,1.0,0.0,Neutral
orderingthi,0.0,0.0,1.0,0.0,Neutral
productthi,0.0,0.0,1.0,0.0,Neutral
great,1.0,0.0,0.0,0.6249,Positive
dark,0.0,0.0,1.0,0.0,Neutral
spot,0.0,0.0,1.0,0.0,Neutral
reappli,0.0,0.0,1.0,0.0,Neutral
time,0.0,0.0,1.0,0.0,Neutral
get,0.0,0.0,1.0,0.0,Neutral
lightcoverag,0.0,0.0,1.0,0.0,Neutral
go,0.0,0.0,1.0,0.0,Neutral
smooth,0.0,0.0,1.0,0.0,Neutral
blend,0.0,0.0,1.0,0.0,Neutral
welli,0.0,0.0,1.0,0.0,Neutral
scare,0.0,1.0,0.0,-0.4939,Negative
shade,0.0,0.0,1.0,0.0,Neutral
match,0.0,0.0,1.0,0.0,Neutral
match,0.0,0.0,1.0,0.0,Neutral
perfectli,0.0,0.0,1.0,0.0,Neutral
im,0.0,0.0,1.0,0.0,Neutral
betweenshad,0.0,0.0,1.0,0.0,Neutral
depend,0.0,0.0,1.0,0.0,Neutral
weather,0.0,0.0,1.0,0.0,Neutral
sephora,0.0,0.0,1.0,0.0,Neutral
collect,0.0,0.0,1.0,0.0,Neutral
conceal,0.0,0.0,1.0,0.0,Neutral
thecoverag,0.0,0.0,1.0,0.0,Neutral
finish,0.0,0.0,1.0,0.0,Neutral
great,1.0,0.0,0.0,0.6249,Positive
cover,0.0,0.0,1.0,0.0,Neutral
dark,0.0,0.0,1.0,0.0,Neutral
circl,0.0,0.0,1.0,0.0,Neutral
blemish,0.0,0.0,1.0,0.0,Neutral
well,1.0,0.0,0.0,0.2732,Positive
itlast,0.0,0.0,1.0,0.0,Neutral
day,0.0,0.0,1.0,0.0,Neutral
tooveri,0.0,0.0,1.0,0.0,Neutral
light,0.0,0.0,1.0,0.0,Neutral
weight,0.0,0.0,1.0,0.0,Neutral
skin,0.0,0.0,1.0,0.0,Neutral
blend,0.0,0.0,1.0,0.0,Neutral
realli,0.0,0.0,1.0,0.0,Neutral
easili,0.0,0.0,1.0,0.0,Neutral
look,0.0,0.0,1.0,0.0,Neutral
amazingthi,0.0,0.0,1.0,0.0,Neutral
beauti,0.0,0.0,1.0,0.0,Neutral
foundat,0.0,0.0,1.0,0.0,Neutral
wear,0.0,0.0,1.0,0.0,Neutral
look,0.0,0.0,1.0,0.0,Neutral
like,1.0,0.0,0.0,0.3612,Positive
naturalisnt,0.0,0.0,1.0,0.0,Neutral
dri,0.0,0.0,1.0,0.0,Neutral
patchi,0.0,0.0,1.0,0.0,Neutral
appli,0.0,0.0,1.0,0.0,Neutral
dri,0.0,0.0,1.0,0.0,Neutral
realli,0.0,0.0,1.0,0.0,Neutral
nice,1.0,0.0,0.0,0.4215,Positive
doesnt,0.0,0.0,1.0,0.0,Neutral
turnorang,0.0,0.0,1.0,0.0,Neutral
buy,0.0,0.0,1.0,0.0,Neutral
againbest,0.0,0.0,1.0,0.0,Neutral
cheap,0.0,0.0,1.0,0.0,Neutral
conceal,0.0,0.0,1.0,0.0,Neutral
found,0.0,0.0,1.0,0.0,Neutral
color,0.0,0.0,1.0,0.0,Neutral
go,0.0,0.0,1.0,0.0,Neutral
littl,0.0,0.0,1.0,0.0,Neutral
lighter,0.0,0.0,1.0,0.0,Neutral
thanexpect,0.0,0.0,1.0,0.0,Neutral
menic,0.0,0.0,1.0,0.0,Neutral
product,0.0,0.0,1.0,0.0,Neutral
match,0.0,0.0,1.0,0.0,Neutral
complexion,0.0,0.0,1.0,0.0,Neutral
job,0.0,0.0,1.0,0.0,Neutral
priceil,0.0,0.0,1.0,0.0,Neutral
look,0.0,0.0,1.0,0.0,Neutral
full,0.0,0.0,1.0,0.0,Neutral
coverag,0.0,0.0,1.0,0.0,Neutral
one,0.0,0.0,1.0,0.0,Neutral
match,0.0,0.0,1.0,0.0,Neutral
perfectli,0.0,0.0,1.0,0.0,Neutral
usemaybellin,0.0,0.0,1.0,0.0,Neutral
foundat,0.0,0.0,1.0,0.0,Neutral
easi,0.0,0.0,1.0,0.0,Neutral
use,0.0,0.0,1.0,0.0,Neutral
good,1.0,0.0,0.0,0.4404,Positive
choic,0.0,0.0,1.0,0.0,Neutral
colorsit,0.0,0.0,1.0,0.0,Neutral
great,1.0,0.0,0.0,0.6249,Positive
product,0.0,0.0,1.0,0.0,Neutral
except,0.0,0.0,1.0,0.0,Neutral
arriv,0.0,0.0,1.0,0.0,Neutral
top,1.0,0.0,0.0,0.2023,Positive
complet,0.0,0.0,1.0,0.0,Neutral
shatteredi,0.0,0.0,1.0,0.0,Neutral
appli,0.0,0.0,1.0,0.0,Neutral
conceal,0.0,0.0,1.0,0.0,Neutral
eye,0.0,0.0,1.0,0.0,Neutral
everi,0.0,0.0,1.0,0.0,Neutral
singl,0.0,0.0,1.0,0.0,Neutral
day,0.0,0.0,1.0,0.0,Neutral
cant,0.0,0.0,1.0,0.0,Neutral
justifi,0.0,0.0,1.0,0.0,Neutral
buy,0.0,0.0,1.0,0.0,Neutral
highend,0.0,0.0,1.0,0.0,Neutral
often,0.0,0.0,1.0,0.0,Neutral
glad,1.0,0.0,0.0,0.4588,Positive
find,0.0,0.0,1.0,0.0,Neutral
year,0.0,0.0,1.0,0.0,Neutral
ago,0.0,0.0,1.0,0.0,Neutral
blendswond,0.0,0.0,1.0,0.0,Neutral
non,0.0,0.0,1.0,0.0,Neutral
dri,0.0,0.0,1.0,0.0,Neutral
easi,0.0,0.0,1.0,0.0,Neutral
find,0.0,0.0,1.0,0.0,Neutral
drugstor,0.0,0.0,1.0,0.0,Neutral
buy,0.0,0.0,1.0,0.0,Neutral
offamazon,0.0,0.0,1.0,0.0,Neutral
give,0.0,0.0,1.0,0.0,Neutral
trythi,0.0,0.0,1.0,0.0,Neutral
favorit,0.0,0.0,1.0,0.0,Neutral
