Review,Positive,Negative,Neutral,Compound,Sentiment
asizebas,0.0,0.0,1.0,0.0,Neutral
thank,1.0,0.0,0.0,0.3612,Positive
maybellin,0.0,0.0,1.0,0.0,Neutral
foundat,0.0,0.0,1.0,0.0,Neutral
find,0.0,0.0,1.0,0.0,Neutral
given,0.0,0.0,1.0,0.0,Neutral
wearingfound,0.0,0.0,1.0,0.0,Neutral
year,0.0,0.0,1.0,0.0,Neutral
ago,0.0,0.0,1.0,0.0,Neutral
cliniqu,0.0,0.0,1.0,0.0,Neutral
stop,0.0,1.0,0.0,-0.296,Negative
make,0.0,0.0,1.0,0.0,Neutral
sport,0.0,0.0,1.0,0.0,Neutral
makeupfound,0.0,0.0,1.0,0.0,Neutral
maybellin,0.0,0.0,1.0,0.0,Neutral
normal,0.0,0.0,1.0,0.0,Neutral
dri,0.0,0.0,1.0,0.0,Neutral
skin,0.0,0.0,1.0,0.0,Neutral
high,0.0,0.0,1.0,0.0,Neutral
qualiti,0.0,0.0,1.0,0.0,Neutral
ascliniqu,0.0,0.0,1.0,0.0,Neutral
may,0.0,0.0,1.0,0.0,Neutral
even,0.0,0.0,1.0,0.0,Neutral
better,1.0,0.0,0.0,0.4404,Positive
car,0.0,0.0,1.0,0.0,Neutral
allow,1.0,0.0,0.0,0.2263,Positive
buymor,0.0,0.0,1.0,0.0,Neutral
shade,0.0,0.0,1.0,0.0,Neutral
variationsnow,0.0,0.0,1.0,0.0,Neutral
sever,0.0,0.0,1.0,0.0,Neutral
variat,0.0,0.0,1.0,0.0,Neutral
color,0.0,0.0,1.0,0.0,Neutral
rang,0.0,0.0,1.0,0.0,Neutral
fromporcelain,0.0,0.0,1.0,0.0,Neutral
ivori,0.0,0.0,1.0,0.0,Neutral
nude,0.0,0.0,1.0,0.0,Neutral
buff,0.0,0.0,1.0,0.0,Neutral
consid,0.0,0.0,1.0,0.0,Neutral
part,0.0,0.0,1.0,0.0,Neutral
face,0.0,0.0,1.0,0.0,Neutral
get,0.0,0.0,1.0,0.0,Neutral
thefoundationi,0.0,0.0,1.0,0.0,Neutral
visual,0.0,0.0,1.0,0.0,Neutral
artist,0.0,0.0,1.0,0.0,Neutral
painter,0.0,0.0,1.0,0.0,Neutral
makeup,0.0,0.0,1.0,0.0,Neutral
thing,0.0,0.0,1.0,0.0,Neutral
easyfor,0.0,0.0,1.0,0.0,Neutral
issu,0.0,0.0,1.0,0.0,Neutral
battl,0.0,0.0,1.0,0.0,Neutral
economi,0.0,0.0,1.0,0.0,Neutral
togeth,0.0,0.0,1.0,0.0,Neutral
qualiti,0.0,0.0,1.0,0.0,Neutral
withmaybellin,0.0,0.0,1.0,0.0,Neutral
found,0.0,0.0,1.0,0.0,Neutral
economi,0.0,0.0,1.0,0.0,Neutral
qualitythank,0.0,0.0,1.0,0.0,Neutral
amazon,1.0,0.0,0.0,0.1779,Positive
andmaybellin,0.0,0.0,1.0,0.0,Neutral
love,1.0,0.0,0.0,0.6369,Positive
doesnt,0.0,0.0,1.0,0.0,Neutral
clog,0.0,0.0,1.0,0.0,Neutral
pore,0.0,0.0,1.0,0.0,Neutral
skin,0.0,0.0,1.0,0.0,Neutral
glow,0.0,0.0,1.0,0.0,Neutral
like,1.0,0.0,0.0,0.3612,Positive
thethick,0.0,0.0,1.0,0.0,Neutral
matt,0.0,0.0,1.0,0.0,Neutral
type,0.0,0.0,1.0,0.0,Neutral
foundat,0.0,0.0,1.0,0.0,Neutral
light,0.0,0.0,1.0,0.0,Neutral
doesnt,0.0,0.0,1.0,0.0,Neutral
feel,0.0,0.0,1.0,0.0,Neutral
heavi,0.0,0.0,1.0,0.0,Neutral
iveus,0.0,0.0,1.0,0.0,Neutral
mani,0.0,0.0,1.0,0.0,Neutral
mani,0.0,0.0,1.0,0.0,Neutral
mani,0.0,0.0,1.0,0.0,Neutral
foundat,0.0,0.0,1.0,0.0,Neutral
life,0.0,0.0,1.0,0.0,Neutral
far,0.0,0.0,1.0,0.0,Neutral
favorit,0.0,0.0,1.0,0.0,Neutral
ofal,0.0,0.0,1.0,0.0,Neutral
timei,0.0,0.0,1.0,0.0,Neutral
love,1.0,0.0,0.0,0.6369,Positive
makeup,0.0,0.0,1.0,0.0,Neutral
feel,0.0,0.0,1.0,0.0,Neutral
skin,0.0,0.0,1.0,0.0,Neutral
sensit,0.0,0.0,1.0,0.0,Neutral
skin,0.0,0.0,1.0,0.0,Neutral
otherproduct,0.0,0.0,1.0,0.0,Neutral
caus,0.0,0.0,1.0,0.0,Neutral
break,0.0,0.0,1.0,0.0,Neutral
yr,0.0,0.0,1.0,0.0,Neutral
old,0.0,0.0,1.0,0.0,Neutral
rosacea,0.0,0.0,1.0,0.0,Neutral
get,0.0,0.0,1.0,0.0,Neutral
flareup,0.0,0.0,1.0,0.0,Neutral
use,0.0,0.0,1.0,0.0,Neutral
product,0.0,0.0,1.0,0.0,Neutral
product,0.0,0.0,1.0,0.0,Neutral
work,0.0,0.0,1.0,0.0,Neutral
great,1.0,0.0,0.0,0.6249,Positive
skin,0.0,0.0,1.0,0.0,Neutral
goto,0.0,0.0,1.0,0.0,Neutral
highli,0.0,0.0,1.0,0.0,Neutral
recommendi,0.0,0.0,1.0,0.0,Neutral
purchas,0.0,0.0,1.0,0.0,Neutral
