Review,Positive,Negative,Neutral,Compound,Sentiment
tablescraperselectedrowbought,0.0,0.0,1.0,0.0,Neutral
seller,0.0,0.0,1.0,0.0,Neutral
oemgenuin,0.0,0.0,1.0,0.0,Neutral
thing,0.0,0.0,1.0,0.0,Neutral
fine,1.0,0.0,0.0,0.2023,Positive
regard,0.0,0.0,1.0,0.0,Neutral
seller,0.0,0.0,1.0,0.0,Neutral
andcondit,0.0,0.0,1.0,0.0,Neutral
would,0.0,0.0,1.0,0.0,Neutral
purchas,0.0,0.0,1.0,0.0,Neutral
anoth,0.0,0.0,1.0,0.0,Neutral
laptop,0.0,0.0,1.0,0.0,Neutral
oemgenuin,0.0,0.0,1.0,0.0,Neutral
need,0.0,0.0,1.0,0.0,Neutral
tothelaptop,0.0,0.0,1.0,0.0,Neutral
bad,0.0,1.0,0.0,-0.5423,Negative
thinkpad,0.0,0.0,1.0,0.0,Neutral
e,0.0,0.0,0.0,0.0,Neutral
modelther,0.0,0.0,1.0,0.0,Neutral
cddvd,0.0,0.0,1.0,0.0,Neutral
drive,0.0,0.0,1.0,0.0,Neutral
tobuy,0.0,0.0,1.0,0.0,Neutral
extern,0.0,0.0,1.0,0.0,Neutral
one,0.0,0.0,1.0,0.0,Neutral
want,1.0,0.0,0.0,0.0772,Positive
someth,0.0,0.0,1.0,0.0,Neutral
basic,0.0,0.0,1.0,0.0,Neutral
watch,0.0,0.0,1.0,0.0,Neutral
dvd,0.0,0.0,1.0,0.0,Neutral
itnow,0.0,0.0,1.0,0.0,Neutral
guess,0.0,0.0,1.0,0.0,Neutral
comput,0.0,0.0,1.0,0.0,Neutral
manufactur,0.0,0.0,1.0,0.0,Neutral
decid,0.0,0.0,1.0,0.0,Neutral
u,0.0,0.0,0.0,0.0,Neutral
nobodi,0.0,0.0,1.0,0.0,Neutral
want,1.0,0.0,0.0,0.0772,Positive
thatanymorether,0.0,0.0,1.0,0.0,Neutral
number,1.0,0.0,0.0,0.0772,Positive
pad,0.0,0.0,1.0,0.0,Neutral
peopl,0.0,0.0,1.0,0.0,Neutral
dont,0.0,0.0,1.0,0.0,Neutral
care,1.0,0.0,0.0,0.4939,Positive
number,1.0,0.0,0.0,0.0772,Positive
pad,0.0,0.0,1.0,0.0,Neutral
butthi,0.0,0.0,1.0,0.0,Neutral
laptop,0.0,0.0,1.0,0.0,Neutral
doesnt,0.0,0.0,1.0,0.0,Neutral
even,0.0,0.0,1.0,0.0,Neutral
give,0.0,0.0,1.0,0.0,Neutral
option,0.0,0.0,1.0,0.0,Neutral
ignor,0.0,0.0,1.0,0.0,Neutral
isnton,0.0,0.0,1.0,0.0,Neutral
buy,0.0,0.0,1.0,0.0,Neutral
extern,0.0,0.0,1.0,0.0,Neutral
number,1.0,0.0,0.0,0.0772,Positive
